Fecha publicación,CCAA,Población > 70 años con dosis de recuerdo,% Población > 70 años con dosis de recuerdo,Población 60-69 años con dosis de recuerdo,% Población 60-69 años con dosis de recuerdo,Población 50-59 años con dosis de recuerdo,% Población 50-59 años con dosis de recuerdo,Población 40-49 años con dosis de recuerdo,% Población 40-49 años con dosis de recuerdo,Personas vacunadas con dosis adicionales,% Personas vacunadas con dosis adicionales
2021-12-30,País Vasco,329.862,"88,11%",207.781,"77,08%",109.703,"34,23%",39.141,"12,27%",72.489,"73,21%"
2021-12-30,Ceuta,4.967,"79,66%",5.448,"72,57%",2.801,"26,73%",1.590,"14,46%",1.271,"34,26%"
2021-12-30,Melilla,3.922,"72,68%",4.569,"62,87%",5.167,"52,47%",3.139,"30,50%",1.006,"22,45%"
2021-12-30,Fuerzas Armadas,10,"25,00%",1.935,"54,38%",3.253,"34,66%",7.732,"35,33%",964,"76,15%"
2021-12-30,Sanidad Exterior,6,"7,89%",16,"5,76%",64,"7,43%",70,"3,94%",67,"1,53%"
2021-12-30,Totales,6.000.161,"87,68%",3.883.203,"74,63%",1.892.459,"28,47%",1.119.013,"16,10%",1.207.285,"60,99%"
2022-01-03,Andalucía,945.702,"87,44",662.947,"71,48",169.179,"13,93",127.943,"10,22",143.746,"45,12"
2022-01-03,Aragón,194.561,"88,69",116.171,"75,55",39.793,"21,44",30.793,"16,38",30.259,"51,54"
2022-01-03,Asturias,188.251,"93,04",131.902,"89,29",97.484,"63,77",41.926,"27,85",37.821,"83,56"
2022-01-03,Baleares,109.755,"84,13",67.640,"61,04",40.651,"26,93",18.235,"10,76",22.865,"44,93"
2022-01-03,Canarias,200.963,"82,65",142.170,"63,95",119.833,"37,41",64.896,"20,48",79.359,"59,17"
2022-01-03,Cantabria,88.914,"90,63",65.074,"84,98",21.717,"25,74",16.031,"18,19",17.896,"80,67"
2022-01-03,Castilla y León,440.544,"92,13",274.883,"85,48",126.123,"35,89",66.529,"20,85",75.221,"78,70"
2022-01-03,Castilla La Mancha,265.521,"89,86",174.787,"79,74",105.599,"37,61",53.681,"19,20",58.906,"76,23"
2022-01-03,Cataluña,919.087,"85,85",590.581,"74,67",289.796,"28,22",191.725,"16,91",163.468,"47,08"
2022-01-03,C. Valenciana,655.996,"90,37",438.988,"77,19",175.798,"24,65",121.918,"16,20",158.209,"74,99"
2022-01-03,Extremadura,151.698,"87,56",112.214,"84,89",63.552,"39,51",27.374,"18,86",32.404,"81,28"
2022-01-03,Galicia,495.883,"93,20",321.106,"92,68",343.481,"87,87",159.916,"39,16",107.190,"86,56"
2022-01-03,La Rioja,43.593,"84,17",30.506,"80,92",12.524,"27,81",9.169,"19,41",11.337,"80,40"
2022-01-03,Madrid,746.985,"84,58",455.944,"66,90",322.900,"34,31",197.156,"19,17",150.646,"63,03"
2022-01-03,Murcia,149.924,"85,10",101.051,"69,34",48.170,"23,29",37.663,"16,32",43.960,"65,92"
2022-01-03,Navarra,90.948,"92,80",61.555,"85,51",28.380,"30,91",15.166,"15,90",18.767,"78,82"
2022-01-03,País Vasco,331.158,"88,45",213.723,"78,02",130.261,"40,41",41.470,"12,97",73.366,"74,10"
2022-01-03,Ceuta,4.996,"80,13",5.497,"72,83",3.166,"30,11",1.910,"17,32",1.282,"34,56"
2022-01-03,Melilla,3.936,"72,90",4.602,"62,76",5.235,"52,72",3.468,"33,38",1.026,"22,89"
2022-01-03,Fuerzas Armadas,10,"24,39",1.958,"54,65",3.515,"37,14",8.246,"37,36",973,"76,86"
2022-01-03,Sanidad Exterior,6,"7,79",32,"11,51",85,"9,87",89,"5,00",102,"2,32"
2022-01-03,España,6.028.431,"88,06",3.973.331,"75,72",2.147.242,"32,19",1.235.304,"17,72",1.228.803,"62,03"
2022-01-04,Andalucía,948.767,"87,71",678.012,"73,09",180.722,"14,88",130.410,"10,41",146.382,"45,95"
2022-01-04,Aragón,194.831,"88,81",117.503,"76,41",43.609,"23,50",31.434,"16,71",30.545,"52,03"
2022-01-04,Asturias,188.411,"93,12",132.971,"90,01",105.968,"69,32",45.076,"29,94",37.902,"83,74"
2022-01-04,Baleares,110.056,"84,35",69.906,"63,07",45.283,"29,99",18.630,"10,98",23.433,"46,04"
2022-01-04,Canarias,202.278,"83,18",145.650,"65,50",126.318,"39,42",68.625,"21,65",80.211,"59,81"
2022-01-04,Cantabria,89.213,"90,93",66.322,"86,60",24.504,"29,04",16.604,"18,83",18.080,"81,50"
2022-01-04,Castilla y León,440.856,"92,19",276.078,"85,84",139.111,"39,57",67.492,"21,14",75.535,"79,03"
2022-01-04,Castilla La Mancha,265.911,"89,99",177.797,"81,11",112.320,"39,99",55.858,"19,98",59.206,"76,62"
2022-01-04,Cataluña,921.672,"86,09",597.746,"75,57",317.096,"30,88",206.127,"18,17",165.211,"47,58"
2022-01-04,C. Valenciana,658.176,"90,67",452.658,"79,59",194.815,"27,31",127.653,"16,96",160.145,"75,90"
2022-01-04,Extremadura,151.784,"87,61",113.345,"85,75",68.168,"42,37",27.829,"19,17",32.530,"81,59"
2022-01-04,Galicia,496.475,"93,30",321.607,"92,81",345.993,"88,50",181.621,"44,47",107.498,"86,80"
2022-01-04,La Rioja,43.630,"84,24",30.680,"81,37",13.317,"29,57",9.346,"19,78",11.346,"80,47"
2022-01-04,Madrid,752.204,"85,16",465.521,"68,29",340.084,"36,14",204.144,"19,85",151.858,"63,54"
2022-01-04,Murcia,150.358,"85,34",102.974,"70,65",53.805,"26,01",38.376,"16,63",44.145,"66,20"
2022-01-04,Navarra,90.978,"92,83",61.964,"86,08",30.354,"33,06",15.299,"16,04",18.813,"79,01"
2022-01-04,País Vasco,331.982,"88,66",217.097,"79,24",140.830,"43,68",42.903,"13,41",73.776,"74,51"
2022-01-04,Ceuta,5.003,"80,25",5.539,"73,37",3.458,"32,88",2.139,"19,39",1.289,"34,74"
2022-01-04,Melilla,3.961,"73,35",4.651,"63,43",5.358,"53,96",3.889,"37,41",1.062,"23,69"
2022-01-04,Fuerzas Armadas,10,"24,39",1.990,"55,52",3.819,"40,30",8.763,"39,70",987,"77,96"
2022-01-04,Sanidad Exterior,7,"9,09",36,"12,95",91,"10,57",95,"5,34",112,"2,55"
2022-01-04,España,6.046.563,"88,32",4.040.047,"76,98",2.295.023,"34,40",1.302.313,"18,68",1.240.066,"62,60"
