CCAA,provincia,localidad,nombre,lat,long
Castilla-La Mancha,Ciudad Real,Ciudad Real,Casa Rural Las Melias,39.0235121,-3.920312899999999
Castilla-La Mancha,Ciudad Real,Ciudad Real,Hostal La Frasca,38.9894843,-3.9259574
Castilla-La Mancha,Ciudad Real,Ciudad Real,Hotel NH Ciudad Real,38.9824469,-3.9317866
Castilla-La Mancha,Ciudad Real,Ciudad Real,Hotel Parque Real,38.97662770000001,-3.9378395
Castilla-La Mancha,Ciudad Real,Puertollano,Hotel Cabañas,38.6956604,-4.1085742
Castilla-La Mancha,Ciudad Real,Tomelloso,Hostal de Violeta,39.1634385,-3.0071464
Castilla-La Mancha,Ciudad Real,Tomelloso,Hotel Núñez,39.163684,-3.0159091
Castilla-La Mancha,Ciudad Real,Valdepeñas,Hotel Entreviñas,38.75757,-3.3881694
Castilla-La Mancha,Guadalajara,Cabanillas del Campo,Hotel Torcal,40.6183333,-3.2041667
Castilla-La Mancha,Guadalajara,Guadalajara,Hotel Iris Guadalajara,40.6266667,-3.1897222
Castilla-La Mancha,Toledo,Illescas,Hotel Real,40.1246681,-3.8494882
Castilla y León,Ávila,Arenas de San Pedro,Hostal Avenida,40.208824,-5.079744
Castilla y León,Ávila,Ávila,Hotel Cuatro Postes,40.662014,-4.7121353
Castilla y León,Ávila,Piedralaves,Hostal Mainz,40.3159137,-4.7011008
Castilla y León,Burgos,Burgos,Hotel Centro Los Braseros Burgos,42.3429139,-3.6988167
Castilla y León,Burgos,Burgos,Hostal Sotopalacios,42.4332657,-3.681746
Castilla y León,León,Astorga,Hotel Astur Plaza,42.4544105,-6.053164900000001
Castilla y León,León,León,Hotel Tryp León,42.6075651,-5.581284399999999
Castilla y León,Palencia,Guardo,Hotel La Montaña Palentina,42.8025027,-4.8492107
Castilla y León,Palencia,Magaz de Pisuerga,Hostal Ceres,41.9828334,-4.427323599999999
Castilla y León,Palencia,Palencia,Hotel Alda Centro,42.0134833,-4.5347544
Castilla y León,Palencia,Santa María La Real,Aparthotel Dceres,42.723056,-4.2747321
Castilla y León,Salamanca,Salamanca,Hotel Gabriel y Galán,40.9701976,-5.662083
Castilla y León,Salamanca,Santa Marta,Hostal Caserón,40.9500466,-5.6293058
Castilla y León,Segovia,Cantalejo,Hostal Stop,41.2588316,-3.923726
Castilla y León,Segovia,Madrona,Hostal Soto Palacio,40.8977707,-4.1718743
Castilla y León,Segovia,Sanchonuño,Hostal Mallorca,41.3305185,-4.3053957
Castilla y León,Segovia,Segovia,Apartamentos Real Segovia,40.9487153,-4.1219115
Castilla y León,Segovia,Segovia,Hostería Natura,40.9501524,-4.1216795
Castilla y León,Segovia,Valverde del Majano,Hotel La Trébede,40.9639256,-4.205693
Castilla y León,Soria,Arcos de Jalón,Hotel Arcojalón,41.2174173,-2.2908248
Castilla y León,Soria,Ólvega,Hostal Los Infantes-Ólvega,41.7781222,-1.9860235
Castilla y León,Soria,San Esteban de Gormaz,Hotel Rivera del Duero,41.57270949999999,-3.2017616
Castilla y León,Soria,Soria,Hotel Alda Ciudad de Soria,41.7697411,-2.4780798
Castilla y León,Soria,Soria,Hostal R. Alda Río Duero,41.7665972,-2.4790306
Castilla y León,Soria,Soria,Hostal Alvi,41.7636726,-2.4678512
Castilla y León,Soria,Valdeavellano de Tera,Casa Rural Arrabal de Valdeavellano,41.9430859,-2.5779507
Castilla y León,Valladolid,Medina de Rioseco,Hotel Vittoria Colonna,41.88346689999999,-5.0454297
Castilla y León,Valladolid,Medina del Campo,Hotel Balneario Palacio de las Salinas,41.2691804,-4.931197
Castilla y León,Valladolid,Medina del Campo,Hotel Residencia La Mota,41.311747,-4.912523
Castilla y León,Valladolid,Valladolid,Hostal Lima,41.6478718,-4.7192593
Castilla y León,Valladolid,Valladolid,Hostal de la Torre,41.6497906,-4.7280105
Castilla y León,Valladolid,Valladolid,Hotel Astorga,41.645768,-4.723021999999999
Castilla y León,Zamora,Castro de Sanabria,Hotel Meleiros,42.061046,-6.6421792
Castilla y León,Zamora,Fermoselle,Hostal Arribes del Duero,41.3192258,-6.398967900000001
Castilla y León,Zamora,Fermoselle,Casa Rural Dos Aguas Arribes,41.3185504,-6.399018499999999
Castilla y León,Zamora,Peñausende,Casa Rural La Becerra,41.2879246,-5.8684637
Cataluña,Barcelona,Barcelona,Atenea Barcelona Aparthotel,41.3863149,2.1293222
Cataluña,Barcelona,Barcelona,Ronda Lesseps,41.408794,2.147937
Cataluña,Barcelona,Barcelona,Hotel SB Zero,41.4120243,2.2194754
Cataluña,Barcelona,Barcelona,Generator Barcelona,41.3991278,2.1625306
Cataluña,Barcelona,Barcelona,Continental Palacete,41.3896931,2.1657272
Cataluña,Barcelona,Barcelona,Hotel NH Sants Barcelona,41.384591,2.1378107
Cataluña,Barcelona,Castelldefels,Hotel Flora Parc,41.2859933,1.9863368
Cataluña,El Prat de Llobregat,El Prat de Llobregat,Salles Hotel Ciutat del Prat,41.3251013,2.0870544
Cataluña,Girona,Figueras,El Travé,42.2625,2.9527778
Cataluña,Girona,Girona,Hotel Europa,41.978508,2.819143
Cataluña,Girona,La Junquera,Hotel Nacional,42.4221649,2.870765
Cataluña,Salou,Salou,Apartamento Los Peces,41.0758556,1.1451824
Cataluña,Sant Julià de Ramis,Sant Julià de Ramis,Hotel Palau de Girona,42.0222282,2.8246651
Cataluña,Barcelona,Barcelona,Hotel Torres,41.3999262,2.1300919
Cataluña,Puigcerdà,Puigcerdà,Hotel Terminus,42.4296951,1.9254166
Cataluña,Tarragona,Tarragona,Hotel SB Ciutat de Tarragona,41.1186291,1.2446798
Cataluña,Tortosa (Tarragona),Tortosa (Tarragona),Hotel SB Corona de Tortosa,40.8165146,0.5129871
Ceuta,Ceuta,Ceuta,EA Hostal,35.889235,-5.303151199999999
Ceuta,Ceuta,Ceuta,Ulises Hotel Ceuta,35.887429,-5.3099263
Comunidad Valenciana,Alicante,Alicante,Alicante Hills,38.3137087,-0.5201926
Comunidad Valenciana,Alicante,Alicante,Apartamentos El Plantío Golf Resort,38.3107262,-0.5440277
Comunidad Valenciana,Alicante,Guardamar del Segura,Apartamentos Europa House Sun Beach,38.0958866,-0.6617526
Comunidad Valenciana,Castellón,Castellón,Hotel Real de Castelló,39.9844633,-0.03976789999999999
Comunidad Valenciana,Valencia,Cullera,Hotel Imperial,39.1659119,-0.2451139
Comunidad Valenciana,Valencia,Cullera,Hotel Imperial II,39.1659119,-0.2451139
Comunidad Valenciana,Castellón,Vila Real,Hotel Azul,39.9270261,-0.1051479
Comunidad Valenciana,Valencia,Valencia,NH Colon,39.46844590000001,-0.3724482
Extremadura,Badajoz,Acedera,Hotel Acueducto,39.0772079,-5.5757542
Extremadura,Badajoz,Azuaga,Hostal Jiménez,38.26117869999999,-5.677763199999999
Extremadura,Badajoz,Badajoz,Hotel Mercure Río,38.8838499,-6.984648699999999
Extremadura,Badajoz,Llerena,Hotel Isur,38.243374,-6.014556
Extremadura,Badajoz,Mérida,Hotel Romero,38.8597222,-6.3647222
Extremadura,Badajoz,Monesterio,Hotel Leo,38.0936472,-6.2760386
Extremadura,Badajoz,Ribera del Fresno,Hotel Bodega El Moral,38.4763204,-6.2642093
Extremadura,Badajoz,Zafra,Hotel Huerta Honda,38.425031,-6.416599
Extremadura,Cáceres,Belvis de Monroy,Hotel Alonso de Monroy,39.8516584,-5.628982
Extremadura,Cáceres,Cáceres,Hotel Extremadura,39.4694147,-6.384556099999999
Extremadura,Cáceres,Carcaboso,Hostal Ciudad de Cáparra,40.0492019,-6.214638799999999
Extremadura,Cáceres,Ceclavín,Aptos. La Borrasca,39.8222392,-6.7732986
Extremadura,Cáceres,Millanes,Apto. Rural La Enramá del Cerrillo,39.8506592,-5.5824997
Extremadura,Cáceres,Navalmoral de la Mata,Hotel Moya,39.8959556,-5.543558099999999
Extremadura,Cáceres,Plasencia,La Despensa de Extremadura,40.0128403,-6.1069722
Galicia,A Coruña,A Coruña,EurostarsBlue,43.3661111,-8.4086111
Galicia,A Coruña,A Coruña,Brial,43.335413,-8.3764261
Galicia,A Coruña,Boiro,Jopi-2,42.6483715,-8.8804658
Galicia,A Coruña,Arteixo,Hotel Alix,43.3155556,-8.4938889
Galicia,A Coruña,Culleredo,Hotel Siglo XXI,43.3028926,-8.4120487
Galicia,A Coruña,Ferrol,Carrís Almirante,43.486214,-8.2301342
Galicia,A Coruña,Ferrol,Hotel Alda El Suizo,43.48296939999999,-8.236495999999999
Galicia,A Coruña,Narón,Hotel Kensington,43.5165169,-8.1619125
Galicia,A Coruña,Sada,Marina Sada,43.3572013,-8.2484652
Galicia,A Coruña,Noia,Hotel Restaurante-Pesquería El Tambre,42.8359134,-8.8492742
Galicia,A Coruña,Santiago de Compostela,Hotel Congreso,42.8360822,-8.5465261
Galicia,A Coruña,Santiago de Compostela,Hotel Concheiros,42.8834957,-8.5339742
Galicia,A Coruña,Santiago de Compostela,Oca Puerta del Camino,42.8840662,-8.5131386
Galicia,A Coruña,Santiago de Compostela,Eurostars Gran Hotel Santiago,42.8849097,-8.5047587
Galicia,Lugo,Lugo Ciudade,Eurostars Gran Hotel,43.0112536,-7.5507382
Galicia,Lugo,Monforte de Lemos,Hotel Ribeira Sacra,42.519601,-7.514202
Galicia,Lugo,Monforte de Lemos,Conde de Lemos,42.5301564,-7.5037211
Galicia,Ourense,Boborás,Pazo da Almuzara,42.438177,-8.13605
Galicia,Ourense,Celanova,Hotel Celanova,42.1532444,-7.956474299999999
Galicia,Ourense,Ourense Cidade,Carris,42.342701,-7.861080899999999
Galicia,Ourense,Ourense Cidade,Euroestars Auriense,42.3157681,-7.8618041
Galicia,Ourense,Ourense Cidade,Barceló Ourense,42.3421183,-7.864235300000001
Galicia,Ourense,Couso,Hotel Alto do Couso,42.311652,-7.675370999999998
Galicia,Ourense,San Cibrao das Viñas,Miravalle,42.2511205,-7.8646241
Galicia,Ourense,Xinzo de Limia,Hotel Orly,42.0613955,-7.725713499999999
Galicia,Pontevedra,Campañó,Hotel Rural Campaniola,42.4639488,-8.665524999999999
Galicia,Pontevedra,Baiona,Hotel Arce,42.1133833,-8.8163248
Galicia,Pontevedra,Pontevedra,Galicia Palace,42.4272629,-8.641068599999999
Galicia,Pontevedra,Pontevedra,Room,42.4267486,-8.6377189
Galicia,Pontevedra,Vigo,Alda Estación // Apartamentos,42.2351795,-8.7150908
Galicia,Pontevedra,Vigo,Bahía de Vigo,42.2401873,-8.7257071
Galicia,Pontevedra,Vigo,Hotel del Mar,42.2399406,-8.721027399999999
Galicia,Pontevedra,Vigo,Ciudad de Vigo,42.2401591,-8.7208165
Galicia,Pontevedra,Vigo,Eurostars Mar de Vigo,42.2314016,-8.7344735
Galicia,Pontevedra,Vigo,Occidental Vigo,42.2337976,-8.7127318
Galicia,Pontevedra,Catoira,Motel Ábalo,42.6544023,-8.7372072
Galicia,A Coruña,Carballo,Hostal Río Sil,43.2083981,-8.6907289
Galicia,A Coruña,A Coruña,Hostal Hotil A Coruña,43.3704775,-8.4001752
Galicia,A Coruña,A Coruña,Adelia,43.3563826,-8.4099597
Galicia,A Coruña,A Coruña,Crisol de la Ronda,43.3543718,-8.4098696
Galicia,A Coruña,As Pontes,Pensión Residencia Silvia,43.4446721,-7.850639999999999
Galicia,Lugo,Burela,Rompeolas,43.6636467,-7.3575325
Galicia,Lugo,Sarria,Casa Matías,42.7826126,-7.4163274
Galicia,Ourense,Manzaneda,O Pendón,42.3079378,-7.232135599999999
Galicia,Ourense,Verín,A Morada do Cigarrón,41.9426599,-7.43825
Galicia,Pontevedra,A Lanzada,A Lanzada,42.4282591,-8.870050299999999
Galicia,Ourense,A Gudiña,Pensión Oscar,42.06075,-7.1380199
Galicia,Pontevedra,Armenteira,Armenteira,42.4633045,-8.7419032
Islas Baleares,Formentera,Formentera,Hotel Illes Pitiüses,38.7061293,1.4572563
Islas Baleares,Ibiza,Ibiza,Apartamentos Duquesa Playa,38.9852139,1.5366361
Islas Baleares,Ibiza,Playa d'en Bossa,Apartamentos Bonsol,38.893948,1.4086133
Islas Baleares,Ibiza,Sant Antonio de Portmany,Apartamentos San Francisco,38.9835193,1.3004416
Islas Baleares,Ibiza,Sant Antonio de Portmany,Apartamentos Venus,38.9797977,1.3070469
Islas Baleares,Mallorca,Palma de Mallorca,Catalonia Majorica,39.5560864,2.6223581
Islas Baleares,Menorca,Ciutadella de Menorca,Menurka,39.9990786,3.8389415
Islas Baleares,Menorca,Mahón,Apartamentos Royal Life,39.887119,4.272629999999999
Islas Baleares,Menorca,Sant Lluis,Prima Sud Suites,39.8119743,4.2762677
Islas Baleares,Mallorca,Colonia de Sant Jordi,Bo,39.3172741,2.993808
Islas Baleares,Mallorca,Palma,Son Mas,39.5281481,3.2798404
Islas Baleares,Mallorca,Porreres,Cas Guitarro,39.5148577,3.0238803
Islas Baleares,Mallorca,Sencelles,Ca Na Pereta,39.5678412,3.2097012
Islas Baleares,Mallorca,Valldemossa,Macarena's House,39.7105556,2.6227778
La Rioja,Logroño,Hormilla,Hotel Hormilla,42.4313294,-2.7629383
La Rioja,Logroño,Logroño,Apartamentos Sercotel Logroño Suites,42.4617015,-2.4516859
La Rioja,Logroño,Logroño,Apartamentos Sagasta,42.4670117,-2.4467262
La Rioja,Logroño,Logroño,Hostal Rioja Condestable,42.4632332,-2.4437699
Madrid,Madrid,Becerril de La Sierra,Hotel Las Gacelas,40.7109458,-3.9941415
Madrid,Madrid,Las Matas,Hotel Apartahotel Las Matas Tartesos,40.5316912,-3.8906979
Madrid,Madrid,Las Rozas,Apartamentos TH Las Rozas,40.4843071,-3.8565855
Madrid,Madrid,Madrid,Apartahotel Jardines de Sabatini,40.4209608,-3.7149143
Madrid,Madrid,Madrid,NH Barajas,40.4509901,-3.5949842
Madrid,Madrid,Madrid,Tryp Alameda,40.469134,-3.580105
