fecha,cod_ine,ccaa,ia14d
2020-07-24,18,Ceuta,1.18
2020-07-24,10,C. Valenciana,13.29
2020-07-24,11,Extremadura,18.26
2020-07-24,12,Galicia,5.45
2020-07-24,13,Madrid,18.58
2020-07-24,19,Melilla,3.47
2020-07-24,14,Murcia,17.27
2020-07-24,15,Navarra,110.51
2020-07-24,16,País Vasco,50.50
2020-07-24,17,La Rioja,27.78
2020-07-24,00,España,37.94
2020-07-27,01,Andalucía,13.01
2020-07-27,02,Aragón,314.11
2020-07-27,03,Asturias,2.74
2020-07-27,04,Baleares,9.22
2020-07-27,05,Canarias,7.06
2020-07-27,06,Cantabria,10.50
2020-07-27,08,Castilla La Mancha,13.68
2020-07-27,07,Castilla y León,10.09
2020-07-27,09,Cataluña,132.04
2020-07-27,18,Ceuta,1.18
2020-07-27,10,C. Valenciana,18.65
2020-07-27,11,Extremadura,11.61
2020-07-27,12,Galicia,6.63
2020-07-27,13,Madrid,28.21
2020-07-27,19,Melilla,3.47
2020-07-27,14,Murcia,22.16
2020-07-27,15,Navarra,136.19
2020-07-27,16,País Vasco,66.13
2020-07-27,17,La Rioja,26.20
2020-07-27,00,España,47.05
2020-07-28,01,Andalucía,13.69
2020-07-28,02,Aragón,334.88
2020-07-28,03,Asturias,2.54
2020-07-28,04,Baleares,11.31
2020-07-28,05,Canarias,6.92
2020-07-28,06,Cantabria,12.39
2020-07-28,08,Castilla La Mancha,14.27
2020-07-28,07,Castilla y León,11.71
2020-07-28,09,Cataluña,134.99
2020-07-28,18,Ceuta,1.18
2020-07-28,10,C. Valenciana,20.62
2020-07-28,11,Extremadura,11.24
2020-07-28,12,Galicia,6.78
2020-07-28,13,Madrid,30.09
2020-07-28,19,Melilla,3.47
2020-07-28,14,Murcia,25.84
2020-07-28,15,Navarra,140.32
2020-07-28,16,País Vasco,69.57
2020-07-28,17,La Rioja,26.52
2020-07-28,00,España,49.22
2020-07-29,01,Andalucía,13.98
2020-07-29,02,Aragón,354.66
2020-07-29,03,Asturias,3.72
2020-07-29,04,Baleares,12.96
2020-07-29,05,Canarias,6.97
2020-07-29,06,Cantabria,12.05
2020-07-29,08,Castilla La Mancha,13.72
2020-07-29,07,Castilla y León,12.29
2020-07-29,09,Cataluña,137.64
2020-07-29,18,Ceuta,1.18
2020-07-29,10,C. Valenciana,22.38
2020-07-29,11,Extremadura,12.83
2020-07-29,12,Galicia,6.85
2020-07-29,13,Madrid,31.97
2020-07-29,19,Melilla,1.16
2020-07-29,14,Murcia,28.85
2020-07-29,15,Navarra,144.30
2020-07-29,16,País Vasco,72.56
2020-07-29,17,La Rioja,26.20
2020-07-29,00,España,51.11
2020-07-30,01,Andalucía,14.87
2020-07-30,02,Aragón,361.94
2020-07-30,03,Asturias,5.18
2020-07-30,04,Baleares,15.14
2020-07-30,05,Canarias,6.64
2020-07-30,06,Cantabria,12.91
2020-07-30,08,Castilla La Mancha,14.91
2020-07-30,07,Castilla y León,14.34
2020-07-30,09,Cataluña,142.00
2020-07-30,18,Ceuta,2.36
2020-07-30,10,C. Valenciana,26.12
2020-07-30,11,Extremadura,12.55
2020-07-30,12,Galicia,7.33
2020-07-30,13,Madrid,37.40
2020-07-30,19,Melilla,1.16
2020-07-30,14,Murcia,32.93
2020-07-30,15,Navarra,146.28
2020-07-30,16,País Vasco,78.50
2020-07-30,17,La Rioja,27.15
2020-07-30,00,España,54.05
2020-07-31,01,Andalucía,16.31
2020-07-31,02,Aragón,380.89
2020-07-31,03,Asturias,7.24
2020-07-31,04,Baleares,21.05
2020-07-31,05,Canarias,6.87
2020-07-31,06,Cantabria,15.14
2020-07-31,08,Castilla La Mancha,16.38
2020-07-31,07,Castilla y León,17.75
2020-07-31,09,Cataluña,145.75
2020-07-31,18,Ceuta,2.36
2020-07-31,10,C. Valenciana,26.84
2020-07-31,11,Extremadura,12.18
2020-07-31,12,Galicia,8.15
2020-07-31,13,Madrid,44.86
2020-07-31,19,Melilla,3.47
2020-07-31,14,Murcia,35.81
2020-07-31,15,Navarra,143.53
2020-07-31,16,País Vasco,84.93
2020-07-31,17,La Rioja,28.09
2020-07-31,00,España,57.46
2020-08-03,01,Andalucía,19.03
2020-08-03,02,Aragón,566.90
2020-08-03,03,Asturias,10.46
2020-08-03,04,Baleares,25.49
2020-08-03,05,Canarias,6.32
2020-08-03,06,Cantabria,22.20
2020-08-03,08,Castilla La Mancha,18.99
2020-08-03,07,Castilla y León,23.09
2020-08-03,09,Cataluña,136.41
2020-08-03,18,Ceuta,2.36
2020-08-03,10,C. Valenciana,32.52
2020-08-03,11,Extremadura,17.33
2020-08-03,12,Galicia,10.82
2020-08-03,13,Madrid,40.88
2020-08-03,19,Melilla,11.56
2020-08-03,14,Murcia,40.83
2020-08-03,15,Navarra,142.46
2020-08-03,16,País Vasco,89.46
2020-08-03,17,La Rioja,27.15
2020-08-03,00,España,62.94
2020-08-04,01,Andalucía,20.22
2020-08-04,02,Aragón,566.14
2020-08-04,03,Asturias,10.85
2020-08-04,04,Baleares,36.02
2020-08-04,05,Canarias,6.55
2020-08-04,06,Cantabria,27.88
2020-08-04,08,Castilla La Mancha,22.78
2020-08-04,07,Castilla y León,28.26
2020-08-04,09,Cataluña,158.15
2020-08-04,18,Ceuta,2.36
2020-08-04,10,C. Valenciana,34.05
2020-08-04,11,Extremadura,17.05
2020-08-04,12,Galicia,11.93
2020-08-04,13,Madrid,66.20
2020-08-04,19,Melilla,12.72
2020-08-04,14,Murcia,42.97
2020-08-04,15,Navarra,149.65
2020-08-04,16,País Vasco,88.96
2020-08-04,17,La Rioja,26.83
2020-08-04,00,España,71.40
2020-08-05,01,Andalucía,21.36
2020-08-05,02,Aragón,567.35
2020-08-05,03,Asturias,12.12
2020-08-05,04,Baleares,42.80
2020-08-05,05,Canarias,6.78
2020-08-05,06,Cantabria,34.07
2020-08-05,08,Castilla La Mancha,21.69
2020-08-05,07,Castilla y León,31.46
2020-08-05,09,Cataluña,152.70
2020-08-05,18,Ceuta,2.36
2020-08-05,10,C. Valenciana,37.75
2020-08-05,11,Extremadura,17.42
2020-08-05,12,Galicia,12.30
2020-08-05,13,Madrid,72.65
2020-08-05,19,Melilla,17.34
2020-08-05,14,Murcia,47.79
2020-08-05,15,Navarra,140.93
2020-08-05,16,País Vasco,83.57
2020-08-05,17,La Rioja,19.26
2020-08-05,00,España,72.23
2020-08-06,01,Andalucía,24.14
2020-08-06,02,Aragón,532.79
2020-08-06,03,Asturias,15.06
2020-08-06,04,Baleares,52.11
2020-08-06,05,Canarias,8.03
2020-08-06,06,Cantabria,36.66
2020-08-06,08,Castilla La Mancha,26.22
2020-08-06,07,Castilla y León,38.38
2020-08-06,09,Cataluña,152.27
2020-08-06,18,Ceuta,2.36
2020-08-06,10,C. Valenciana,39.11
2020-08-06,11,Extremadura,20.42
2020-08-06,12,Galicia,13.67
2020-08-06,13,Madrid,81.05
2020-08-06,19,Melilla,21.97
2020-08-06,14,Murcia,49.67
2020-08-06,15,Navarra,142.77
2020-08-06,16,País Vasco,107.39
2020-08-06,17,La Rioja,17.05
2020-08-06,00,España,75.29
2020-08-07,01,Andalucía,26.67
2020-08-07,02,Aragón,503.68
2020-08-07,03,Asturias,17.70
2020-08-07,04,Baleares,60.03
