Fecha publicación,CCAA,Vacunados ≥80 años,Población ≥80 años,% ≥80 años,Vacunados 70-79 años,Población 70-79 años,% 70-79 años,Vacunados 60-69 años,Población 60-69 años,% 60-69 años,Vacunados 50-59 años,Población 50-59 años,% 50-59 años,Vacunados 25-49 años,Población 25-49 años,% 25-49 años,Vacunados 18-24 años,Población 18-24 años,% 18-24 años,Vacunados 16-17 años,Población 16-17 años,% 16-17 años,Vacunados total,Población total a vacunar,% total vacunada
2021-05-19,C. Valenciana,283.003,276.531,"100,0",286.013,437.862,"65,3",29.394,580.728,"5,1",42.000,752.334,"5,6",71.938,1.765.967,"4,1",5.923,352.834,"1,7",119,103.049,"0,1",718.390,4.269.305,"16,8"
2021-05-19,Extremadura,76.002,76.005,"100,0",79.252,91.876,"86,3",12.116,125.297,"9,7",14.586,169.216,"8,6",21.112,351.778,"6,0",1.018,76.088,"1,3",54,20.953,"0,3",204.140,911.213,"22,4"
2021-05-19,Galicia,234.682,234.302,"100,0",218.388,289.762,"75,4",21.120,346.927,"6,1",27.857,405.889,"6,9",43.590,889.004,"4,9",1.871,152.745,"1,2",33,44.014,"0,1",547.541,2.362.643,"23,2"
2021-05-19,La Rioja,22.776,22.207,"100,0",22.892,28.125,"81,4",4.112,37.718,"10,9",4.394,47.664,"9,2",5.022,107.618,"4,7",424,21.170,"2,0",9,6.286,"0,1",59.629,270.788,"22,0"
2021-05-19,Madrid,356.789,364.122,"98,0",349.613,526.081,"66,5",61.830,703.323,"8,8",58.332,972.783,"6,0",121.088,2.513.737,"4,8",15.247,479.716,"3,2",221,135.861,"0,2",963.120,5.695.623,"16,9"
2021-05-19,Murcia,70.013,69.771,"100,0",72.062,102.899,"70,0",9.378,146.909,"6,4",17.535,213.256,"8,2",28.343,551.265,"5,1",2.610,118.667,"2,2",115,34.712,"0,3",200.056,1.237.479,"16,2"
2021-05-19,Navarra,40.822,41.166,"99,2",42.717,55.792,"76,6",6.781,73.844,"9,2",9.421,96.694,"9,7",13.222,223.028,"5,9",990,48.505,"2,0",5,13.906,"0,0",113.958,552.935,"20,6"
2021-05-19,País Vasco,156.251,157.950,"98,9",122.820,213.081,"57,6",17.081,280.119,"6,1",25.598,339.977,"7,5",41.232,724.849,"5,7",3.872,140.323,"2,8",13,41.824,"0,0",366.867,1.898.123,"19,3"
2021-05-19,Ceuta,2.243,2.605,"86,1",3.399,4.318,"78,7",1.014,7.857,"12,9",692,11.556,"6,0",1.073,30.066,"3,6",98,7.581,"1,3",3,2.175,"0,1",8.522,66.158,"12,9"
2021-05-19,Melilla,1.759,2.349,"74,9",2.721,3.748,"72,6",1.434,7.827,"18,3",640,11.299,"5,7",968,30.095,"3,2",88,8.536,"1,0",6,2.324,"0,3",7.616,66.178,"11,5"
2021-05-19,FF.AA.,3,-,-,4,-,-,625,-,-,1.649,-,-,6.770,-,-,519,-,-,0,-,-,9.570,-,-
2021-05-19,España,2.808.623,2.834.024,"99,1",2.775.192,3.960.045,"70,1",423.826,5.336.986,"7,9",507.318,7.033.306,"7,2",867.994,16.706.113,"5,2",84.655,3.310.299,"2,6",1.565,949.049,"0,2",7.469.173,40.129.822,"18,6"
2021-05-20,Andalucía,417.254,413.516,"100,0",544.203,650.381,"83,7",73.417,916.147,"8,0",87.945,1.265.021,"7,0",158.029,3.009.381,"5,3",15.293,625.846,"2,4",329,181.921,"0,2",1.296.470,7.062.213,"18,4"
