NOMBRE,DIRECCION,CIUDAD,PROVINCIA,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO,BOCADILLOS_BEBIDAS_CALIENTES,COMIDA_PREPARADA,DUCHAS
"E.S. PROMOC. Y DISTR. DE GASES ,S.A","CL SUECA, 5",Cullera,Valencia,39.16740409,-0.25883113,,De Lunes a Domingo de 06:00 a 22:00 horas,961720064,SI,,
ES INTER-ALFARA SA,"CR VV-6104 P.K. 6,00 I",L Eliana,Valencia,39.55904955,-0.50536906,,De Lunes a Domingo de 07:00 a 22:00 horas,962750439,SI,,
E.S. ENGUERA S.L.,"CL AVENIDA DE LA CONSTITUCION, 20",Enguera,Valencia,38.98215377,-0.6875995,,Festivo de 07:00 a 22:00 horas,962224225,SI,SI,
"ES SAFOR ESTACIONES, SL","CL AVENIDA DE VALENCIA, 23",Gandia,Valencia,38.9715801,-0.18166179,,De Lunes a Domingo de 07:00 a 21:00 horas,962874127,SI,,
JUAN ANTONIO MARQUEZ FERNANDEZ,"CR N-332 P.K. 224,20 I",Gandia,Valencia,38.96839268,-0.20295172,,De Lunes a Sábado de 06:00 a 20:00 horas; Domingo de 07:00 a 20:00 horas; Festivo de 07:00 a 20:00 horas,962951292,SI,,
CRED GANDIA PUERTO,"CR VP-1056 P.K. 7,00 I",Gandia-puerto,Valencia,38.99590586,-0.16661167,,De Lunes a Domingo de 06:00 a 22:00 horas,962844212,SI,SI,
E.S. GASOL.SAN MIGUEL,"CL DUQUE DE LIRIA, 132",Lliria,Valencia,39.63008479,-0.60253559,,De Lunes a Domingo de 07:00 a 20:30 horas,962781138,SI,,
ES MAFON 2018 S.L.,"CR VV-6116 P.K. 6,80 I",Manises,Valencia,39.51119797,-0.5150465,,De Lunes a Viernes de 07:00 a 21:00 horas; Sábado de 08:00 a 18:00 horas,,SI,,
CRED ALBERIQUE M.D.,"CR A-7 P.K. 659,80 D",Masalaves,Valencia,39.15373421,-0.52773086,,ABIERTO 24h.,962441775,SI,SI,
CRED ALBERIQUE M.I.,"CR A-7 P.K. 659,80 I",Masalaves,Valencia,39.15479704,-0.52942601,,ABIERTO 24h.,962441767,SI,SI,
E.S. ALZ MISLATA,"AT A-3 P.K. 350,90 I",Mislata,Valencia,39.47214169,-0.42971791,,ABIERTO 24h.,662676562,SI,,
E.S. ALZ MISLATA PUEBLO,"CL SAN ANTONIO, 14",Mislata,Valencia,39.47450509,-0.41277443,,De Lunes a Domingo de 06:00 a 22:00 horas,662676518,SI,,
E.S. MARIA NIEVES GARCIA LLUCH,"CR N-430 P.K. 625,00 D",Mogente,Valencia,38.87862205,-0.75398238,,De Lunes a Viernes de 07:00 a 20:00 horas; De Sábado a Domingo de 09:00 a 16:00 horas,962261237,SI,,
ES MARTIN LOPEZ CARBURANTES SL,"CR N-430 P.K. 630,80 D",Montesa,Valencia,38.92943363,-0.6626579,,ABIERTO 24h.,962299372,,,SI
ES SAFOR ESTACIONES SL,CR N-332 P.K. 182.10 I,Oliva,Valencia,38.89429688,-0.07274698,,De Lunes a Domingo de 06:00 a 22:00 horas,962855618,SI,,
ES SAFOR ESTACIONES SL,CR N-332 P.K. 182.10 D,Oliva,Valencia,38.89512642,-0.07272317,,De Lunes a Domingo de 07:00 a 21:00 horas,962855627,SI,,
ES CARBURANTES ALRONAY SL,"CL AVENIDA DIPUTACION, 4",Olleria,Valencia,38.91569363,-0.55692109,,De Lunes a Viernes de 06:00 a 22:00 horas; Sábado de 06:00 a 21:00 horas; Domingo de 06:00 a 21:00 horas,962201396,SI,,
E.S. GIL S.L.,"CL AVENIDA DE VALENCIA, 3",Onteniente,Valencia,38.82799916,-0.60566633,,ABIERTO 24h.,962381295,SI,,
E.S. GIL S.L.,"CL AVENIDA ALMANSA, 25",Onteniente,Valencia,38.82083659,-0.61705894,,De Lunes a Domingo de 06:00 a 22:00 horas,962380035,SI,,
"E.S. VICTORIA,S.L.","CL AVENIDA DEL TEXTIL, 42",Onteniente,Valencia,38.82690987,-0.58801999,,De Lunes a Domingo de 06:00 a 22:00 horas,962912136,SI,,
"GASOLPER, S.L.","CL AVENIDA DOS DE MAYO, 207",Onteniente,Valencia,38.81821976,-0.60470108,,De Lunes a Domingo de 06:00 a 22:00 horas,962380189,SI,,
CRED CAMPOLIVAR,CL CRTA.VIEJA DE BURJASOT-CENTRO C. KINE,Paterna,Valencia,39.53148288,-0.44226939,,De Lunes a Domingo de 06:00 a 22:00 horas,963638955,SI,SI,
E.S. SORIANO ALGARRA,"CR VP-6116 P.K. 29,00 I",Pedralba,Valencia,39.60169737,-0.72527356,,De Lunes a Sábado de 06:00 a 21:00 horas; Domingo de 07:00 a 14:00 horas,962707183,SI,,
CRED PICANYA,"CR CV-36 P.K. 2,25 D",Picanya,Valencia,39.44071121,-0.42676243,,"De Lunes a Viernes de 07:00 a 20:00 horas. Sabados, Domingos y Festivos de 10:00 a 16:00",961592667,SI,SI,
E.S. BIP BIP PUERTO DE SAGUNTO,"CL JUAN ALMAGRO , 2",Puerto de Sagunto,Valencia,39.66262274,-0.23887314,,ABIERTO 24h.,962683514,SI,,
E.S. TERESA SIGNES SEGURA,"CR C-322 ,P.K. 81,20 D",Quatretonda,Valencia,38.94622219,-0.39697597,,De Lunes a Domingo de 08:00 a 14:00 horas; De Lunes a Domingo de 17:00 a 20:00 horas,962264820,SI,,
E.S. NAVARRO,"AT A-3 P.K. 281,00 I",Requena,Valencia,39.53050883,-1.16530799,,De Lunes a Domingo de 06:00 a 24:00 horas,962302552,SI,,
ES ASG LA REVA,POL IND REVA SECTOR 12,Riba-roja de Turia,Valencia,39.47876279,-0.56969371,,ABIERTO 24h.,606595676,,,SI
E.S. ALZ,"AT A-3 P.K. 341,00 A",Riba-roja de Turia,Valencia,39.47161225,-0.53600547,,ABIERTO 24h.,961668309,SI,,SI
"E.S. GARDOAN 63,S.L.","V-23 Puçol-Sagunto P.K. 0,50 D",Sagunto,Valencia,39.63288066,-0.29672811,,De Lunes a Viernes de 08:00 a 20:00 horas; De Sábado a Domingo de 08:00 a 20:00 horas,962653012,SI,,SI
