Fecha,Cod_Provincia,Provincia,TOTAL_CAMAS,OCUPADAS_COVID19,OCUPADAS_NO_COVID19,% Pacientes COVID-19,% Pacientes no COVID-19,media_7d_ocupadas_covid,POR_OCUPADAS_TOTAL,media_7d_ocupadas_total
2020-08-15,26,"Rioja, La",43,0,12,0.0,27.91,0.0,64.91,78.0
2020-08-15,27,Lugo,94,0,16,0.0,17.02,0.0,18.11,21.0
2020-08-15,28,Madrid,1012,90,377,8.89,37.25,8.0,4.56,5.0
2020-08-15,29,Málaga,214,7,37,3.27,17.29,2.0,9.61,8.0
2020-08-15,3,Alicante/Alacant,348,10,125,2.87,35.92,2.0,11.15,11.0
2020-08-15,30,Murcia,431,23,101,5.34,23.43,4.0,6.68,6.0
2020-08-15,31,Navarra,110,7,36,6.36,32.73,6.0,35.54,38.0
2020-08-15,32,Ourense,84,0,15,0.0,17.86,0.0,21.26,32.0
2020-08-15,33,Asturias,254,3,46,1.18,18.11,1.0,7.59,8.0
2020-08-15,34,Palencia,14,0,10,0.0,71.43,0.0,510.21,398.0
2020-08-15,35,"Palmas, Las",250,1,81,0.4,32.4,0.0,13.12,14.0
2020-08-15,36,Pontevedra,229,0,64,0.0,27.95,0.0,12.21,12.0
2020-08-15,37,Salamanca,39,0,12,0.0,30.77,1.0,78.9,96.0
2020-08-15,38,Santa Cruz de Tenerife,190,4,78,2.11,41.05,1.0,22.72,23.0
2020-08-15,39,Cantabria,115,0,48,0.0,41.74,0.0,36.3,34.0
2020-08-15,4,Almería,126,15,20,11.9,15.87,11.0,22.04,24.0
2020-08-15,40,Segovia,22,0,6,0.0,27.27,0.0,123.95,109.0
2020-08-15,41,Sevilla,343,2,137,0.58,39.94,1.0,11.81,12.0
2020-08-15,42,Soria,16,0,3,0.0,18.75,0.0,117.19,140.0
2020-08-15,43,Tarragona,108,11,30,10.19,27.78,10.0,35.16,37.0
2020-08-15,44,Teruel,8,3,3,37.5,37.5,34.0,937.5,871.0
2020-08-15,45,Toledo,86,2,37,2.33,43.02,2.0,52.73,51.0
2020-08-15,46,Valencia/València,579,24,171,4.15,29.53,3.0,5.82,6.0
2020-08-15,47,Valladolid,83,4,44,4.82,53.01,6.0,69.67,68.0
2020-08-15,48,Bizkaia,164,12,67,7.32,40.85,7.0,29.37,30.0
2020-08-15,49,Zamora,17,0,7,0.0,41.18,0.0,242.24,217.0
2020-08-15,5,Ávila,15,0,4,0.0,26.67,0.0,177.8,171.0
2020-08-15,50,Zaragoza,161,50,49,31.06,30.43,28.0,38.19,35.0
2020-08-15,51,Ceuta,17,0,1,0.0,5.88,0.0,34.59,64.0
2020-08-15,52,Melilla,12,0,4,0.0,33.33,0.0,277.75,278.0
2020-08-15,6,Badajoz,141,2,28,1.42,19.86,1.0,15.09,17.0
2020-08-15,7,"Balears, Illes",280,19,84,6.79,30.0,6.0,13.14,14.0
